Block group id,OBJECTID,EnviroAtlas Community Code,Value of hospital admissions avoided due to nitrogen dioxide removed ($/yr),Asthma exacerbation avoided due to nitrogen dioxide removed (cases/yr),Value of asthma exacerbation cases avoided due to nitrogen dioxide removed ($/yr),Acute respiratory symptoms avoided due to ozone removed (cases/yr),Value of mortality avoided due to ozone removed ($/yr),Acute respiratory symptoms avoided due to particulate matter [PM2.5] removed (cases/yr),Value of mortality avoided due to particulate matter [PM2.5] removed ($/yr),Asthma exacerbation avoided due to sulfur dioxide removed (cases/yr),Value of asthma exacerbation cases avoided due to sulfur dioxide removed ($/yr),Value of hospital admissions avoided due to sulfur dioxide removed ($/yr),Total Population,Population under 1 year old,Percent population under 1 year old,Population under 13 years old,Percent population under 13 years old,Population over 70 years old,Percent population over 70 years old,"Population other than White, non-Hispanic","Percent population other than White, non-Hispanic",Population with income below twice the US poverty level,Percent population with income below twice the US poverty level,Total carbon stored (kg),Total carbon sequestered (kg/yr),Value of carbon stored ($),Value of carbon sequestered ($/yr),Average reduction in nighttime ambient temperature (Celsius),Average reduction in daytime ambient temperature (Celsius),Carbon monoxide (kg/yr),Nitrogen dioxide (kg/yr),Ozone (kg/yr),Particulate matter [PM2.5] (kg/yr),Sulfur dioxide (kg/yr),Particulate matter [PM10] (kg/yr),"Value of health, ecosystem, and materials damage avoided due to particulate matter [PM10] removed ($/yr)","Value of health, ecosystem, and materials damage avoided due to carbon monoxide removed ($/yr)",Percent annual reduction in streamflow,Reduction in annual runoff (m3/yr),Reduction in median load of total suspended solids [TSS] (kg/yr),Reduction in median biochemical oxygen demand [BOD5] (kg/yr),Reduction in median chemical oxygen demand [COD] (kg/yr),Reduction in median load of total phosphorus (kg/yr),Reduction in mean chemical oxygen demand [COD] (kg/yr),Reduction in mean load of nitrites and nitrates (kg/yr),Total carbon stored (mt),Total carbon sequestered by tree cover (mt/yr),Percent tree cover,Percent impervious area,Percent green space,Percent wetlands,Tree cover per capita (m2/person),Impervious area per capita (m2/person),Green space per capita (m2/person),Total land area in 15m buffer (m2).1,Percent vegetated cover in 15m buffer.1,Residential population within 300m of busy roadway with < 25 percent tree buffer,Residential population within 300m of busy roadway with > 25 percent tree buffer,Residential population within 300m of busy roadway,Percent of residential population within 300m of busy roadway,Percent of busy roadway bordered by > 25 percent tree buffer,Percent of busy roadway bordered by < 25 percent tree buffer,Residential population within 500m of a park entrance,Residential population not within 500m of a park entrance,Percent of residential population within 500m of a park entrance,Percent of residential population not within 500m of a park entrance,Percent carbon monoxide removed annually by tree cover,Percent nitrogen dioxide removed annually by tree cover,Percent ozone removed annually by tree cover,Percent particulate matter [PM10] removed annually by tree cover,Percent particulate matter [PM2.5] removed annually by tree cover,Percent sulfur dioxide removed annually by tree cover,Daily domestic use (x1000 gal/day),bgrp,EnviroAtlas Community Name,State FIPS,County FIPS,Tract FIPS,ORIG_FID
060371903011,41020,LACA,126.51,0.89,75.12,2.06,4684.97,0.26,4874.83,0.01,0.99,4.64,1762,12,0.68,127,7.21,96,5.45,825,46.82,1057,51.61,133552.23,6755.76,10483.85,530.33,0.25,0.29,5.71,46.67,94.73,1.69,3.07,42.62,302.45,8.63,0.49,163.65,8.92,1.88,7.32,0.04,8.64,0.11,133.55,6.76,15.53,79.5,18.65,0.0,10,50,12,0,-99999.0,1676,9,1685,95.63,23.47,76.53,169,1593,9.59,90.41,0.0,0.16,0.22,0.54,0.01,0.15,130.39,60371903011,"Los Angeles, CA",6,37,190301,40960
060371903012,41021,LACA,184.16,1.3,109.35,2.99,6819.91,0.38,7096.21,0.02,1.44,6.75,1866,10,0.54,107,5.73,240,12.86,664,35.58,791,40.77,260660.24,13185.54,20461.83,1035.07,0.34,0.4,11.15,91.09,184.89,3.3,5.99,83.18,590.3,16.84,0.57,244.39,13.32,2.81,10.92,0.06,12.9,0.16,260.66,13.19,21.34,72.46,27.47,0.0,18,62,23,0,-99999.0,1738,42,1780,95.39,32.18,67.82,60,1806,3.22,96.78,0.0,0.21,0.3,0.73,0.02,0.2,138.08,60371903012,"Los Angeles, CA",6,37,190301,40961
060371903013,41022,LACA,90.58,0.64,53.77,1.48,3359.61,0.19,3488.55,0.01,0.71,3.32,1130,7,0.62,37,3.27,98,8.67,409,36.19,239,42.3,176523.95,8929.5,13857.13,700.97,0.3,0.35,7.55,61.72,125.35,2.24,4.05,56.33,399.76,11.4,0.5,196.1,10.69,2.26,8.77,0.05,10.35,0.13,176.52,8.93,17.31,77.98,20.57,0.0,20,91,24,0,-99999.0,442,15,457,40.44,28.83,71.17,326,804,28.85,71.15,0.0,0.17,0.24,0.6,0.01,0.16,83.62,60371903013,"Los Angeles, CA",6,37,190301,40962
060371904011,41023,LACA,120.01,1.01,84.94,2.0,4575.92,0.25,4774.55,0.01,1.12,4.45,2104,14,0.67,132,6.27,171,8.13,834,39.64,887,44.09,109590.19,5543.64,8602.83,435.18,0.23,0.26,4.69,38.3,77.73,1.39,2.52,34.86,247.4,7.08,0.42,147.0,8.01,1.69,6.57,0.04,7.76,0.1,109.59,5.54,12.72,82.9,17.01,0.0,7,44,9,0,-99999.0,1998,28,2026,96.29,12.75,87.25,0,2104,0.0,100.0,0.0,0.13,0.18,0.44,0.01,0.12,155.7,60371904011,"Los Angeles, CA",6,37,190401,40963
060371904012,41024,LACA,61.59,0.52,43.59,1.03,2348.27,0.13,2450.22,0.01,0.57,2.28,1031,5,0.48,70,6.79,99,9.6,439,42.58,730,65.24,55898.61,2827.64,4388.04,221.97,0.24,0.28,2.39,19.54,39.65,0.71,1.28,17.78,126.19,3.61,0.37,60.16,3.28,0.69,2.69,0.02,3.18,0.04,55.9,2.83,13.28,79.7,19.74,0.0,7,42,10,0,-99999.0,976,0,976,94.67,32.08,67.92,2,1029,0.19,99.81,0.0,0.13,0.19,0.46,0.01,0.13,76.29,60371904012,"Los Angeles, CA",6,37,190401,40964
060371904021,41025,LACA,133.75,1.18,98.79,1.91,4640.52,0.24,4808.57,0.02,1.39,4.85,2487,18,0.72,185,7.44,301,12.1,993,39.93,1420,66.6,131545.14,6654.23,10326.29,522.36,0.2,0.23,5.63,45.97,93.3,1.67,3.02,41.89,297.29,8.5,0.33,165.99,9.05,1.91,7.42,0.04,8.76,0.11,131.55,6.65,10.88,84.1,15.59,0.0,7,53,10,0,-99999.0,2370,34,2404,96.66,15.75,84.25,362,2125,14.56,85.44,0.0,0.11,0.15,0.38,0.01,0.1,184.04,60371904021,"Los Angeles, CA",6,37,190402,40965
060371905101,41026,LACA,139.72,2.88,242.65,2.53,6169.15,0.32,5433.47,0.04,3.17,5.55,2719,21,0.77,318,11.7,177,6.51,1749,64.33,1705,67.66,165211.96,8357.28,12969.14,656.05,0.22,0.26,7.07,57.75,117.18,2.1,3.8,52.56,373.01,10.67,0.4,201.25,10.97,2.31,9.0,0.05,10.63,0.13,165.21,8.36,13.23,82.11,17.76,0.0,8,49,11,0,-99999.0,2554,0,2554,93.93,12.07,87.93,233,2486,8.57,91.43,0.0,0.13,0.19,0.46,0.01,0.13,201.21,60371905101,"Los Angeles, CA",6,37,190510,40966
060371905102,41027,LACA,100.64,2.08,174.9,1.82,4449.7,0.23,3917.27,0.03,2.29,4.0,1508,10,0.66,181,12.0,43,2.85,1087,72.08,734,48.9,206607.23,10451.26,16218.67,820.42,0.28,0.33,8.84,72.2,146.55,2.63,4.75,65.73,466.47,13.34,0.49,222.81,12.14,2.56,9.96,0.06,11.76,0.15,206.61,10.45,17.21,76.88,21.86,0.0,18,80,23,0,-99999.0,586,0,586,38.86,24.31,75.69,908,600,60.21,39.79,0.0,0.17,0.24,0.59,0.01,0.16,111.59,60371905102,"Los Angeles, CA",6,37,190510,40967
060371905201,41028,LACA,90.22,1.41,118.74,1.25,3293.29,0.16,3081.97,0.02,1.61,3.37,1374,21,1.53,189,13.76,81,5.9,852,62.01,1155,65.81,109013.44,5514.46,8557.56,432.89,0.26,0.3,4.66,38.1,77.32,1.39,2.5,34.63,245.79,7.04,0.4,120.02,6.54,1.38,5.36,0.03,6.34,0.08,109.01,5.51,14.05,79.22,19.27,0.0,10,58,14,0,-99999.0,1315,0,1315,95.71,4.1,95.9,24,1350,1.75,98.25,0.0,0.14,0.2,0.48,0.01,0.13,101.68,60371905201,"Los Angeles, CA",6,37,190520,40968
060371905202,41029,LACA,128.45,2.01,169.07,1.77,4689.08,0.23,4388.16,0.03,2.3,4.8,2354,21,0.89,253,10.75,264,11.22,1284,54.55,1490,71.33,127400.23,6444.56,10000.92,505.9,0.19,0.21,5.45,44.52,90.36,1.62,2.93,40.48,287.25,8.23,0.35,156.65,8.54,1.8,7.0,0.04,8.27,0.1,127.4,6.44,11.6,81.81,17.39,0.0,7,50,11,0,-99999.0,2217,33,2250,95.58,2.12,97.88,234,2120,9.94,90.06,0.0,0.12,0.16,0.4,0.01,0.11,174.2,60371905202,"Los Angeles, CA",6,37,190520,40969
